"","CALENDAR_YEAR","COVERAGE_TYPE","VESSEL_TYPE","GEAR_TYPE","MANAGEMENT_PROGRAM_CODE","NMFS_REGION","ALL OTHER STATEMENT TYPES","COAST GUARD","LIMITED ACCESS PROGRAMS","OLE PRIORITY: INTER-PERSONAL","OLE PRIORITY: SAFETY AND DUTIES","PROTECTED RESOURCE & PROHIBITED SPECIES","TOTAL_DAYS","TOTAL_CRUISES","TOTAL_OBSERVERS","DISTINCT_OBSERVER_ASSIGNMENTS","TOTAL_STATEMENTS","TOTAL_INCIDENTS","FACTOR_GROUP"
"25",2020,"FULL","PLANT"," ","AFA","BSAI",14.8163382691266,3.36935525989175,1.52472228272707,3.88017623646217,4.16659639624693,4.01311551335465,4591,66,56,67,65.8022341268077,145.857465470302,"FULLPLANT AFABSAI"
"26",2020,"FULL","PLANT"," ","OA","BSAI",7.26392251815981,1.50355385456534,NA,1.67813391508642,1.6271186440678,NA,118,10,10,10,0.811300907970981,1.42458201396176,"FULLPLANT OABSAI"
"27",2020,"FULL","PLANT"," ","OA","GOA",261.318880175644,1.59278899646856,NA,12.9271659957906,160.799006993918,184.206807856693,850,41,39,43,44.3864649652214,527.717952515737,"FULLPLANT OAGOA"
"28",2020,"PARTIAL","CV","HAL","CDQ","BSAI",NA,NA,NA,NA,NA,NA,26,3,3,4,0,0,"PARTIALCVHALCDQBSAI"
"29",2020,"PARTIAL","CV","HAL","IFQ","BSAI",5.83090379008746,47.6190476190476,6.80272108843537,NA,6.80272108843537,NA,49,4,4,6,2.14285714285714,3.28571428571429,"PARTIALCVHALIFQBSAI"
"30",2020,"PARTIAL","CV","HAL","IFQ","GOA",82.7367754197023,14.7819660014782,1.47819660014782,5.7649667405765,3.69549150036955,113.082039911308,451,34,28,72,18.0571428571429,99.9142857142857,"PARTIALCVHALIFQGOA"
"31",2020,"PARTIAL","CV","NPT","OA","BSAI",64.1025641025641,NA,NA,51.2820512820513,12.8205128205128,NA,78,13,13,16,5,10,"PARTIALCVNPTOABSAI"
"32",2020,"PARTIAL","CV","NPT","OA","GOA",56.0169891458235,12.2699386503067,NA,6.13496932515337,NA,57.9754601226994,163,24,21,41,10.3807692307692,21.5807692307692,"PARTIALCVNPTOAGOA"
"33",2020,"PARTIAL","CV","NPT","RPP","GOA",NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,"PARTIALCVNPTRPPGOA"
"34",2020,"PARTIAL","CV","POT","CDQ","BSAI",71.4285714285714,NA,285.714285714286,NA,NA,NA,14,2,2,2,2,5,"PARTIALCVPOTCDQBSAI"
"35",2020,"PARTIAL","CV","POT","IFQ","BSAI",431.818181818182,22.7272727272727,613.636363636364,NA,NA,68.1818181818182,44,4,4,5,7,50,"PARTIALCVPOTIFQBSAI"
"36",2020,"PARTIAL","CV","POT","IFQ","GOA",186.904761904762,NA,11.9047619047619,26.1904761904762,130.952380952381,NA,168,18,17,24,12.8,59.8,"PARTIALCVPOTIFQGOA"
"37",2020,"PARTIAL","CV","POT","OA","BSAI",71.4285714285714,23.8095238095238,NA,NA,NA,NA,126,16,15,22,6,12,"PARTIALCVPOTOABSAI"
"38",2020,"PARTIAL","CV","POT","OA","GOA",1125,125,NA,NA,NA,NA,8,2,2,2,2,10,"PARTIALCVPOTOAGOA"
"39",2020,"PARTIAL","CV","PTR","OA","GOA",61.7812200680384,7.2992700729927,NA,5.12175673188984,10.9489051094891,20.2554744525547,274,27,25,63,18.0225921137686,28.8814156431803,"PARTIALCVPTROAGOA"
"40",2020,"PARTIAL","PLANT"," ","OA","GOA",42.5531914893617,NA,NA,NA,NA,21.2765957446809,282,5,5,6,11,18,"PARTIALPLANT OAGOA"
"41",2021,"FULL","CP/MS","HAL","CDQ","BSAI",4.42792582305435,3.32333553665779,15.9544511045082,2.95355773029709,0.30768047382793,5.30312672351618,486,23,22,23,4.5484005519089,15.6832576124447,"FULLCP/MSHALCDQBSAI"
"42",2021,"FULL","CP/MS","HAL","IFQ","BSAI",187.633153734849,13.7280137280137,NA,NA,NA,3.20659642693541,37,3,3,3,0.999192897497982,7.56900726392252,"FULLCP/MSHALIFQBSAI"
"43",2021,"FULL","CP/MS","HAL","IFQ","GOA",21.7432767499523,21.7432767499523,362.387945832539,14.4955178333015,7.24775891665077,NA,49,2,2,2,3.19626168224299,20.9532710280374,"FULLCP/MSHALIFQGOA"
"44",2021,"FULL","CP/MS","HAL","OA","BSAI",57.1011416671572,5.88700360568843,22.1422857102681,0.667731569767317,0.178367699965336,19.9150292922487,2777,49,44,51,33.3295591733434,294.060860856729,"FULLCP/MSHALOABSAI"
"45",2021,"FULL","CP/MS","HAL","OA","GOA",14.7710510623607,5.38712613376016,NA,NA,NA,NA,86,4,4,4,0.926585695006748,1.7336032388664,"FULLCP/MSHALOAGOA"
"46",2021,"FULL","CP/MS","NPT","A80","BSAI",10.8039811200486,12.1310845061464,17.3674989783253,5.15831130277718,8.70317950929283,36.243772911816,9478,161,132,167,193.434470319024,856.885396896634,"FULLCP/MSNPTA80BSAI"
"47",2021,"FULL","CP/MS","NPT","CDQ","BSAI",10.7684345724137,12.2990928642409,17.4932574460498,6.73768121227832,1.02876747457049,19.2877740436052,1339,71,65,71,26.2312317065764,90.5364951940191,"FULLCP/MSNPTCDQBSAI"
"48",2021,"FULL","CP/MS","NPT","OA","BSAI",3.83483073986942,23.7574617414027,9.95288529864886,7.28733811038354,1.58953093340353,11.6987680070938,1483,54,52,56,37.9813496807523,86.1931683940792,"FULLCP/MSNPTOABSAI"
"49",2021,"FULL","CP/MS","NPT","OA","GOA",15.2199539404348,2.31704906168482,3.62639117395965,2.13913751912893,0.51524259338772,14.8235895609939,685,22,22,22,8.04739787512331,26.469334236969,"FULLCP/MSNPTOAGOA"
"50",2021,"FULL","CP/MS","NPT","RPP","GOA",3.92900267742445,1.64805568791564,27.4399839487504,7.89794059954959,1.07222635889799,30.6069457968192,395,16,16,16,7.95592792164231,28.6746912523961,"FULLCP/MSNPTRPPGOA"
"51",2021,"FULL","CP/MS","POT","CDQ","BSAI",86.1244019138756,13.0879431433448,NA,71.7703349282297,83.5991493886231,NA,209,6,6,6,5.91130604288499,53.2076023391813,"FULLCP/MSPOTCDQBSAI"
"52",2021,"FULL","CP/MS","POT","IFQ","BSAI",NA,NA,NA,NA,NA,NA,42,2,2,2,0,0,"FULLCP/MSPOTIFQBSAI"
"53",2021,"FULL","CP/MS","POT","IFQ","GOA",NA,NA,NA,NA,NA,NA,126,3,3,3,0,0,"FULLCP/MSPOTIFQGOA"
"54",2021,"FULL","CP/MS","POT","OA","BSAI",NA,8.78208252111761,NA,NA,31.4429012345679,NA,144,7,7,7,2.08869395711501,5.79239766081871,"FULLCP/MSPOTOABSAI"
"55",2021,"FULL","CP/MS","PTR","A80","BSAI",7.75193798449612,8.26193390452876,41.5952672378621,NA,NA,6.2015503875969,10,3,3,3,0.227254181966544,0.638106895144839,"FULLCP/MSPTRA80BSAI"
