"","COVERAGE_TYPE","VESSEL_TYPE","GEAR_TYPE","MANAGEMENT_PROGRAM_CODE","NMFS_REGION","TOTAL_DAYS","TOTAL_CRUISES","TOTAL_OBSERVERS","DISTINCT_OBSERVER_ASSIGNMENTS","TOTAL_STATEMENTS","TOTAL_INCIDENTS","FACTOR_GROUP","ALL_OTHER_STATEMENT_TYPES_1000_DEPLOYED_DAYS","COAST_GUARD_1000_DEPLOYED_DAYS","LIMITED_ACCESS_PROGRAMS_1000_DEPLOYED_DAYS","OLE_PRIORITY_INTER_PERSONAL_1000_DEPLOYED_DAYS","OLE_PRIORITY_SAFETY_AND_DUTIES_1000_DEPLOYED_DAYS","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_1000_DEPLOYED_DAYS","ALL_OTHER_STATEMENT_TYPES_90_DEPLOYED_DAYS","COAST_GUARD_90_DEPLOYED_DAYS","LIMITED_ACCESS_PROGRAMS_90_DEPLOYED_DAYS","OLE_PRIORITY_INTER_PERSONAL_90_DEPLOYED_DAYS","OLE_PRIORITY_SAFETY_AND_DUTIES_90_DEPLOYED_DAYS","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_90_DEPLOYED_DAYS","ALL_OTHER_STATEMENT_TYPES_CRUISE","COAST_GUARD_CRUISE","LIMITED_ACCESS_PROGRAMS_CRUISE","OLE_PRIORITY_INTER_PERSONAL_CRUISE","OLE_PRIORITY_SAFETY_AND_DUTIES_CRUISE","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_CRUISE","ALL_OTHER_STATEMENT_TYPES_ASSIGNMENT","COAST_GUARD_ASSIGNMENT","LIMITED_ACCESS_PROGRAMS_ASSIGNMENT","OLE_PRIORITY_INTER_PERSONAL_ASSIGNMENT","OLE_PRIORITY_SAFETY_AND_DUTIES_ASSIGNMENT","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_ASSIGNMENT"
"21","PARTIAL","CV","HAL","IFQ","GOA",1590,76,50,244,82.5881216484665,249.193453816299,"PARTIALCVHALIFQGOA",50.2598558999014,6.61072463284565,37.2641509433962,0.628930817610063,5.66037735849057,56.3014029995162,4.52338703099113,0.594965216956108,3.35377358490566,0.0566037735849057,0.509433962264151,5.06712626995646,1.05148909053741,0.138303317976639,0.779605263157895,0.0131578947368421,0.118421052631579,1.17788461538462,0.327512995413292,0.0430780826484614,0.242827868852459,0.00409836065573771,0.0368852459016393,0.36688209331652
"22","PARTIAL","CV","HAL","OA","BSAI",11,3,3,4,0,0,"PARTIALCVHALOABSAI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","PARTIAL","CV","HAL","OA","GOA",37,8,8,9,4,19,"PARTIALCVHALOAGOA",54.0540540540541,NA,NA,NA,27.027027027027,432.432432432432,4.86486486486486,NA,NA,NA,2.43243243243243,38.9189189189189,0.25,NA,NA,NA,0.125,2,0.222222222222222,NA,NA,NA,0.111111111111111,1.77777777777778
"24","PARTIAL","CV","NPT","OA","BSAI",248,23,22,32,16.1470588235294,53.9705882352941,"PARTIALCVNPTOABSAI",123.576850094877,17.4335863377609,NA,4.03225806451613,24.1935483870968,48.3870967741935,11.1219165085389,1.56902277039848,NA,0.362903225806452,2.17741935483871,4.35483870967742,1.33248081841432,0.187979539641944,NA,0.0434782608695652,0.260869565217391,0.521739130434783,0.957720588235294,0.135110294117647,NA,0.03125,0.1875,0.375
"25","PARTIAL","CV","NPT","OA","GOA",303,44,29,70,31.3715294367468,60.8330678982853,"PARTIALCVNPTOAGOA",55.4608574410555,9.9009900990099,NA,19.5149949777586,19.8019801980198,96.0903782685961,4.99147716969499,0.891089108910891,NA,1.75634954799828,1.78217821782178,8.64813404417365,0.381923631923632,0.0681818181818182,NA,0.134387351778656,0.136363636363636,0.661713286713287,0.240066282923426,0.0428571428571429,NA,0.084472049689441,0.0857142857142857,0.415934065934066
"26","PARTIAL","CV","POT","CDQ","BSAI",20,3,3,3,0,0,"PARTIALCVPOTCDQBSAI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","PARTIAL","CV","POT","IFQ","BSAI",16,4,4,4,4,16,"PARTIALCVPOTIFQBSAI",250,NA,625,NA,125,NA,22.5,NA,56.25,NA,11.25,NA,1,NA,2.5,NA,0.5,NA,1,NA,2.5,NA,0.5,NA
"28","PARTIAL","CV","POT","IFQ","GOA",121,17,16,18,8.27195027195027,10.2719502719503,"PARTIALCVPOTIFQGOA",41.2388346272644,10.5954651409197,33.0578512396694,NA,NA,NA,3.71149511645379,0.953591862682772,2.97520661157025,NA,NA,NA,0.293523469994058,0.0754147812971342,0.235294117647059,NA,NA,NA,0.277216610549944,0.0712250712250712,0.222222222222222,NA,NA,NA
"29","PARTIAL","CV","POT","OA","BSAI",283,30,25,47,29,47,"PARTIALCVPOTOABSAI",123.674911660777,28.2685512367491,NA,NA,14.1342756183746,NA,11.13074204947,2.54416961130742,NA,NA,1.27208480565371,NA,1.16666666666667,0.266666666666667,NA,NA,0.133333333333333,NA,0.74468085106383,0.170212765957447,NA,NA,0.0851063829787234,NA
"30","PARTIAL","CV","POT","OA","GOA",39,7,7,7,1,1,"PARTIALCVPOTOAGOA",NA,25.6410256410256,NA,NA,NA,NA,NA,2.30769230769231,NA,NA,NA,NA,NA,0.142857142857143,NA,NA,NA,NA,NA,0.142857142857143,NA,NA,NA,NA
"31","PARTIAL","CV","PTR","OA","GOA",925,73,47,192,69.6523519106639,92.2903609604377,"PARTIALCVPTROAGOA",50.1746478217066,5.05564387917329,NA,4.41833137485311,11.8918918918919,28.2328482328482,4.5157183039536,0.455007949125596,NA,0.39764982373678,1.07027027027027,2.54095634095634,0.635774647055872,0.0640612409347301,NA,0.0559857057772484,0.150684931506849,0.357744994731296,0.241726818932701,0.0243566176470588,NA,0.021286231884058,0.0572916666666667,0.136017628205128
