"","COVERAGE_TYPE","VESSEL_TYPE","GEAR_TYPE","MANAGEMENT_PROGRAM_CODE","NMFS_REGION","ALL_OTHER_STATEMENT_TYPES_1000_DEPLOYED_DAYS","COAST_GUARD_1000_DEPLOYED_DAYS","LIMITED_ACCESS_PROGRAMS_1000_DEPLOYED_DAYS","OLE_PRIORITY_INTER_PERSONAL_1000_DEPLOYED_DAYS","OLE_PRIORITY_SAFETY_AND_DUTIES_1000_DEPLOYED_DAYS","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_1000_DEPLOYED_DAYS","ALL_OTHER_STATEMENT_TYPES_90_DEPLOYED_DAYS","COAST_GUARD_90_DEPLOYED_DAYS","LIMITED_ACCESS_PROGRAMS_90_DEPLOYED_DAYS","OLE_PRIORITY_INTER_PERSONAL_90_DEPLOYED_DAYS","OLE_PRIORITY_SAFETY_AND_DUTIES_90_DEPLOYED_DAYS","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_90_DEPLOYED_DAYS","ALL_OTHER_STATEMENT_TYPES_CRUISE","COAST_GUARD_CRUISE","LIMITED_ACCESS_PROGRAMS_CRUISE","OLE_PRIORITY_INTER_PERSONAL_CRUISE","OLE_PRIORITY_SAFETY_AND_DUTIES_CRUISE","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_CRUISE","ALL_OTHER_STATEMENT_TYPES_ASSIGNMENT","COAST_GUARD_ASSIGNMENT","LIMITED_ACCESS_PROGRAMS_ASSIGNMENT","OLE_PRIORITY_INTER_PERSONAL_ASSIGNMENT","OLE_PRIORITY_SAFETY_AND_DUTIES_ASSIGNMENT","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_ASSIGNMENT"
"11","FULL","CP/MS","Pelagic Trawl","CDQ","BSAI",37.6780933949864,21.7285512672897,22.6103563361557,3.94766730260764,2.04843286563255,9.28609498868076,3.39102840554878,1.95556961405607,2.03493207025401,0.355290057234688,0.18435895790693,0.835748548981268,0.687071114849753,0.3962265231094,0.412306497894604,0.0719868743416688,0.0373537757850642,0.169334673323002,0.677113562460626,0.390484109731003,0.406331041403378,0.0709435863077315,0.0368124167157154,0.166880547622669
"12","FULL","CP/MS","Pelagic Trawl","Open Access","GOA",0.330578512396694,5.01567398119122,NA,NA,NA,NA,0.0297520661157025,0.45141065830721,NA,NA,NA,NA,0.00606060606060606,0.0919540229885057,NA,NA,NA,NA,0.00606060606060606,0.0919540229885057,NA,NA,NA,NA
"13","FULL","CP/MS","Pot","CDQ","BSAI",9.48183266046891,30.9641097818438,2.86430361618332,9.66702470461869,NA,NA,0.853364939442202,2.78676988036594,0.257787325456498,0.870032223415682,NA,NA,0.232304900181488,0.758620689655172,0.0701754385964912,0.236842105263158,NA,NA,0.232304900181488,0.758620689655172,0.0701754385964912,0.236842105263158,NA,NA
"14","FULL","CP/MS","Pot","Open Access","BSAI",7.57849151930711,9.74377481053771,7.21761097076868,1.0826416456153,NA,2.88704438830747,0.68206423673764,0.876939732948394,0.649584987369181,0.0974377481053771,NA,0.259833994947672,0.0950226244343891,0.122171945701357,0.0904977375565611,0.0135746606334842,NA,0.0361990950226244,0.0950226244343891,0.122171945701357,0.0904977375565611,0.0135746606334842,NA,0.0361990950226244
"15","FULL","CV","Non-Pelagic Trawl","CGOA Rockfish","GOA",127.101889439358,9.32606040441294,3.06211723534558,2.08964264082374,49.1787084306769,14.579561244684,11.4391700495423,0.839345436397164,0.275590551181102,0.188067837674137,4.42608375876092,1.31216051202156,1.69915157461037,0.124674702248468,0.0409356725146199,0.0279352226720648,0.657441681125892,0.194905713481565,1.21825961953196,0.0893894091592787,0.0293501048218029,0.0200290275761974,0.471373280807243,0.13974371909999
"16","FULL","CV","Non-Pelagic Trawl","Open Access","BSAI",58.2877995881894,31.4512379616875,NA,16.8610340236449,NA,20.9542151834364,5.24590196293705,2.83061141655187,NA,1.51749306212804,NA,1.88587936650928,0.937462110043379,0.505840743883807,NA,0.271181630546956,NA,0.337013627533602,0.937462110043379,0.505840743883807,NA,0.271181630546956,NA,0.337013627533602
"17","FULL","CV","Non-Pelagic Trawl","Open Access","GOA",38.2775119617225,23.3100233100233,NA,NA,NA,NA,3.44497607655502,2.0979020979021,NA,NA,NA,NA,0.210526315789474,0.128205128205128,NA,NA,NA,NA,0.210526315789474,0.128205128205128,NA,NA,NA,NA
"18","FULL","CV","Pelagic Trawl","AFA","BSAI",55.5132600452008,9.88207815826437,2.12114070233325,3.55328533212486,2.01417719683098,7.0954127903834,4.99619340406808,0.889387034243793,0.190902663209993,0.319795679891237,0.181275947714788,0.638587151134506,2.01318600317767,0.358373142098425,0.0769230769230769,0.128859740719707,0.0730440499671269,0.257314841620485,1.67646094214795,0.298431726871998,0.0640569395017794,0.107306688001465,0.0608267177662195,0.214276416153714
"19","FULL","CV","Pelagic Trawl","CGOA Rockfish","GOA",164.24429276278,12.1986216815214,1.87529301453352,1.16845180136319,20.7802043245081,2.50456914641576,14.7819863486502,1.09787595133693,0.168776371308017,0.105160662122687,1.87021838920573,0.225411223177418,1.0520512806697,0.0781371172573128,0.012012012012012,0.00748440748440748,0.133105633105633,0.0160427807486631,0.884679486017704,0.065706212239104,0.0101010101010101,0.00629370629370629,0.111929736929737,0.0134905201750122
"20","FULL","CV","Pelagic Trawl","Open Access","BSAI",18.1623931623932,11.9301994301994,NA,NA,NA,9.72222222222222,1.63461538461538,1.07371794871795,NA,NA,NA,0.875,0.163461538461538,0.107371794871795,NA,NA,NA,0.0875,0.145299145299145,0.0954415954415954,NA,NA,NA,0.0777777777777778
