"","COVERAGE_TYPE","VESSEL_TYPE","GEAR_TYPE","MANAGEMENT_PROGRAM_CODE","NMFS_REGION","ALL OTHER STATEMENT TYPES","COAST GUARD","LIMITED ACCESS PROGRAMS","OLE PRIORITY: INTER-PERSONAL","OLE PRIORITY: SAFETY AND DUTIES","PROTECTED RESOURCE & PROHIBITED SPECIES","UNKNOWN","CALENDAR_YEAR","TOTAL_DAYS","TOTAL_CRUISES","TOTAL_OBSERVERS","DISTINCT_OBSERVER_ASSIGNMENTS","TOTAL_STATEMENTS","TOTAL_INCIDENTS","FACTOR_GROUP"
"52","PARTIAL","CV","NPT","OA","GOA",2,2,0,2,1,2,0,2019,303,44,29,70,31.3715294367468,60.8330678982853,"PARTIALCVNPTOAGOA"
"53","PARTIAL","CV","NPT","OA","GOA",2,2,0,2,1,2,0,2020,161,24,21,41,10.3807692307692,21.5807692307692,"PARTIALCVNPTOAGOA"
"54","PARTIAL","CV","POT","CDQ","BSAI",NA,NA,NA,NA,NA,NA,NA,2019,20,3,3,3,0,0,"PARTIALCVPOTCDQBSAI"
"55","PARTIAL","CV","POT","IFQ","BSAI",2,1,2,0,1,1,0,2019,16,4,4,4,4,16,"PARTIALCVPOTIFQBSAI"
"56","PARTIAL","CV","POT","IFQ","BSAI",2,1,2,0,1,1,0,2020,44,4,4,5,7,50,"PARTIALCVPOTIFQBSAI"
"57","PARTIAL","CV","POT","IFQ","GOA",2,1,2,1,1,0,0,2020,167,18,17,24,12.5333333333333,59.5333333333333,"PARTIALCVPOTIFQGOA"
"58","PARTIAL","CV","POT","IFQ","GOA",2,1,2,1,1,0,0,2019,122,17,16,18,8.27195027195027,10.2719502719503,"PARTIALCVPOTIFQGOA"
"59","PARTIAL","CV","POT","OA","BSAI",2,2,0,0,1,0,0,2020,128,17,16,23,6,12,"PARTIALCVPOTOABSAI"
"60","PARTIAL","CV","POT","OA","BSAI",2,2,0,0,1,0,0,2019,283,30,25,47,29,47,"PARTIALCVPOTOABSAI"
"61","PARTIAL","CV","POT","OA","GOA",0,1,0,0,0,0,0,2019,39,7,7,7,1,1,"PARTIALCVPOTOAGOA"
"62","PARTIAL","CV","PTR","OA","GOA",2,2,0,2,2,2,0,2019,936,73,47,192,69.6523519106639,92.2903609604377,"PARTIALCVPTROAGOA"
"63","PARTIAL","CV","PTR","OA","GOA",2,2,0,2,2,2,0,2020,276,27,25,63,18.0225921137686,28.8814156431803,"PARTIALCVPTROAGOA"
"64","PARTIAL","PLANT"," ","OA","GOA",1,0,1,0,0,1,0,2020,282,5,5,6,11,18,"PARTIALPLANT OAGOA"
