"","CRUISE","PERMIT","OBSERVER_SEQ","MANAGEMENT_PROGRAM_CODE","DAYS"
"663",22572,2583,12367,"IFQ",4
"664",22572,5663,12367,"IFQ",4
"665",22573,1445,12361,"IFQ",5
"666",22573,1877,12361,"IFQ",13
"667",22573,1921,12361,"CDQ",6
"668",22573,1921,12361,"IFQ",3
"669",22573,31775,12361,"OA",8
"670",22573,33004,12361,"IFQ",4
"671",22573,33530,12361,"OA",11
"672",22574,166,12451,"IFQ",14
"673",22574,751,12451,"IFQ",9
"674",22574,1152,12451,"IFQ",3
"675",22574,5062,12451,"IFQ",4
"676",22574,12017,12451,"IFQ",7
"677",22574,14792,12451,"IFQ",3
"678",22575,2718,11749,"IFQ",27
"679",22575,2718,11749,"OA",9
"680",22576,249,10142,"AFA",14
"681",22576,993,10142,"AFA",26
"682",22576,3367,10142,"EXP",37
"683",22577,3242,12066,"IFQ",32
"684",22577,3242,12066,"OA",1
"685",22578,7161,11794,"CDQ",29
"686",22579,993,12226,"AFA",4
"687",22579,1610,12226,"EXP",72
"688",22579,1641,12226,"AFA",7
"689",22579,4078,12226,"AFA PLANT",7
"690",22580,4506,9801,"AFA",21
"691",22580,4506,9801,"OA",3
"692",22581,86,11826,"IFQ",4
"693",22581,849,11826,"IFQ",1
"694",22581,1762,11826,"IFQ",4
"695",22581,1938,11826,"IFQ",5
"696",22581,3044,11826,"IFQ",6
"697",22581,4147,11826,"IFQ",15
"698",22581,4327,11826,"IFQ",4
"699",22581,4896,11826,"IFQ",4
"700",22581,4915,11826,"IFQ",5
"701",22582,1996,10159,"EXP",55
"702",22582,2123,10159,"EXP",15
"703",22582,3800,10159,"AFA",15
"704",22583,2657,12287,"AFA",9
"705",22583,4635,12287,"EXP",80
"706",22584,485,11774,"IFQ",9
"707",22584,1450,11774,"IFQ",3
"708",22584,3093,11774,"IFQ",4
"709",22584,3560,11774,"IFQ",4
"710",22584,4725,11774,"IFQ",5
"711",22584,14792,11774,"IFQ",5
"712",22584,18197,11774,"IFQ",16
"713",22584,31518,11774,"IFQ",9
"714",22585,3741,10980,"IFQ",7
"715",22585,4579,10980,"OA",1
"716",22585,4638,10980,"IFQ",12
"717",22585,5783,10980,"IFQ",4
"718",22585,6182,10980,"OA",3
"719",22585,22691,10980,"IFQ",10
"720",22585,31775,10980,"IFQ",9
"721",22585,31775,10980,"OA",9
"722",22585,31847,10980,"IFQ",4
"723",22586,1248,12230,"CDQ",10
"724",22586,1248,12230,"IFQ",51
"725",22586,1248,12230,"OA",29
"726",22587,221,11520,"IFQ",10
"727",22587,1308,11520,"IFQ",4
"728",22587,2250,11520,"IFQ",6
"729",22587,2584,11520,"IFQ",5
"730",22588,86,12392,"IFQ",3
"731",22588,438,12392,"IFQ",6
"732",22588,926,12392,"IFQ",8
"733",22588,4037,12392,"OA",4
"734",22588,12017,12392,"IFQ",6
